ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE
learner,Baby Boomers (55-75),Female,Caucasian,Entry-level,Mid-career,Expert,None,Bachelor's degree,Fluent,None,Reading/Writing,Intermediate,Supportive,Neither,Urban,Advanced,Neutral,Medium,Accessibility,Ambivert,Career advancement
learner,Baby Boomers (55-75),Female,Caucasian,Entry-level,Early career,starter,None,Some college,Proficient,Advanced,Reading/Writing,Intermediate,Supportive,Competitive,Rural,None,Positive,High,Resources,Extroverted,Career advancement
learner,Baby Boomers (55-75),Male,Caucasian,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,None,Reading/Writing,Advanced,Supportive,Neither,Urban,Intermediate,Neutral,High,Resources,Extroverted,Skill development
learner,Baby Boomers (55-75),Male,African American,Mid-level,Early career,Expert,None,Bachelor's degree,Fluent,Advanced,Kinesthetic,Intermediate,Supportive,Both,Urban,Intermediate,Neutral,Medium,Resources,Introverted,Career advancement
admin,Baby Boomers (55-75),Female,Caucasian,Entry-level,Early career,Builder,Physical,Bachelor's degree,Proficient,Advanced,Auditory,Intermediate,Competitive,Cooperative,Urban,Advanced,Positive,Low,Resources,Ambivert,Career advancement
learner,Millennials (25-40),Female,Other,Entry-level,Early career,starter,Physical,Some college,Fluent,Advanced,Auditory,Advanced,Supportive,Both,Suburban,Advanced,Neutral,High,Accessibility,Ambivert,Skill development
learner,Millennials (25-40),Female,African American,Executive,Early career,Builder,Mental,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Intermediate,Independent,Neither,Suburban,Intermediate,Positive,High,Time,Extroverted,Skill development
learner,Generation X (40-55),Male,Other,Mid-level,Early career,starter,None,Bachelor's degree,Fluent,Advanced,Kinesthetic,Advanced,Independent,Cooperative,Suburban,Basic,Positive,Medium,Time,Introverted,Career advancement
learner,Generation X (40-55),Male,Asian,Executive,Early career,starter,Other,Doctoral degree,Fluent,Intermediate,Visual,Intermediate,Collaborative,Both,Urban,Intermediate,Positive,High,Interest,Introverted,Career advancement
learner,Millennials (25-40),Female,African American,Mid-level,Early career,starter,None,Bachelor's degree,Proficient,Basic,Visual,Intermediate,Supportive,Cooperative,Suburban,Intermediate,Positive,High,Time,Extroverted,Career advancement
admin,Generation X (40-55),Male,Caucasian,Entry-level,Early career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Suburban,Intermediate,Neutral,Medium,Time,Extroverted,Skill development
learner,Generation X (40-55),Male,African American,Entry-level,Mid-career,starter,Physical,High school or below,Proficient,Intermediate,Kinesthetic,Advanced,Supportive,Both,Urban,Intermediate,Positive,Low,Accessibility,Introverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Mid-level,Early career,starter,None,Master's degree,Fluent,Basic,Kinesthetic,Basic,Independent,Both,Suburban,Advanced,Positive,High,Time,Ambivert,Requirement
learner,Generation Z (18-24),Other,Other,Mid-level,Mid-career,Builder,None,Bachelor's degree,Proficient,Intermediate,Visual,Advanced,Collaborative,Both,Rural,Intermediate,Positive,Medium,Interest,Introverted,Career advancement
learner,Generation X (40-55),Male,Asian,Senior-level,Early career,Accelerator,None,Some college,Proficient,None,Kinesthetic,Intermediate,Supportive,Competitive,Rural,Intermediate,Positive,Medium,Resources,Ambivert,Personal interest
learner,Generation X (40-55),Female,African American,Entry-level,Mid-career,starter,None,Master's degree,Basic,Intermediate,Reading/Writing,Intermediate,Competitive,Both,Urban,Basic,Positive,High,Time,Extroverted,Career advancement
learner,Generation X (40-55),Male,Asian,Mid-level,Mid-career,Builder,Other,Some college,Fluent,Intermediate,Reading/Writing,Intermediate,Supportive,Competitive,Suburban,Intermediate,Neutral,Medium,Resources,Introverted,Skill development
admin,Generation X (40-55),Female,Caucasian,Mid-level,Retirement,starter,Other,Some college,Basic,Advanced,Kinesthetic,Intermediate,Supportive,Cooperative,Urban,Basic,Positive,Low,Accessibility,Introverted,Career advancement
learner,Millennials (25-40),Male,Caucasian,Senior-level,Retirement,starter,Mental,Bachelor's degree,Fluent,Advanced,Reading/Writing,Intermediate,Supportive,Competitive,Suburban,Advanced,Neutral,Low,Time,Ambivert,Personal interest
admin,Millennials (25-40),Male,Caucasian,Senior-level,Early career,Expert,None,Some college,Fluent,Intermediate,Visual,Intermediate,Supportive,Both,Urban,Advanced,Neutral,Low,Resources,Ambivert,Skill development
learner,Millennials (25-40),Female,Hispanic/Latino,Entry-level,Early career,Expert,None,Doctoral degree,Proficient,Advanced,Reading/Writing,Intermediate,Independent,Competitive,Rural,Intermediate,Neutral,High,Time,Introverted,Personal interest
learner,Generation X (40-55),Male,Caucasian,Mid-level,Late career,Accelerator,None,Bachelor's degree,Fluent,Basic,Reading/Writing,Advanced,Collaborative,Cooperative,Urban,Basic,Neutral,High,Accessibility,Introverted,Career advancement
admin,Millennials (25-40),Female,Asian,Senior-level,Mid-career,starter,Mental,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Advanced,Supportive,Competitive,Urban,Advanced,Neutral,High,Time,Ambivert,Career advancement
learner,Generation X (40-55),Male,Asian,Mid-level,Late career,starter,None,Some college,Proficient,Advanced,Reading/Writing,Intermediate,Competitive,Cooperative,Suburban,Advanced,Positive,Low,Resources,Extroverted,Personal interest
learner,Baby Boomers (55-75),Female,Asian,Mid-level,Late career,Accelerator,Mental,Some college,Basic,Advanced,Auditory,Advanced,Independent,Both,Suburban,Advanced,Neutral,Medium,Interest,Introverted,Personal interest
learner,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,Builder,None,Some college,Basic,Intermediate,Auditory,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Time,Ambivert,Personal interest
learner,Generation X (40-55),Male,African American,Mid-level,Retirement,starter,None,High school or below,Fluent,None,Kinesthetic,Intermediate,Supportive,Competitive,Suburban,Intermediate,Positive,Low,Interest,Introverted,Career advancement
learner,Generation X (40-55),Female,Other,Entry-level,Mid-career,starter,None,Some college,Proficient,Basic,Kinesthetic,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Accessibility,Extroverted,Career advancement
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Accelerator,None,Bachelor's degree,Proficient,Advanced,Reading/Writing,Intermediate,Competitive,Competitive,Suburban,None,Positive,High,Resources,Ambivert,Career advancement
admin,Millennials (25-40),Other,Asian,Entry-level,Early career,Accelerator,None,Bachelor's degree,Proficient,None,Visual,Advanced,Competitive,Cooperative,Suburban,Intermediate,Neutral,Medium,Time,Extroverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Builder,None,Master's degree,Proficient,Advanced,Kinesthetic,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Negative,High,Time,Ambivert,Career advancement
learner,Millennials (25-40),Female,Other,Mid-level,Mid-career,Builder,None,Some college,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Competitive,Urban,Intermediate,Positive,High,Resources,Introverted,Skill development
learner,Baby Boomers (55-75),Female,Caucasian,Entry-level,Early career,Builder,None,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Supportive,Both,Urban,Intermediate,Positive,Medium,Time,Ambivert,Skill development
learner,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Basic,Supportive,Cooperative,Urban,Intermediate,Positive,High,Resources,Introverted,Personal interest
learner,Millennials (25-40),Female,Asian,Entry-level,Mid-career,Builder,Mental,Some college,Proficient,Intermediate,Auditory,Intermediate,Supportive,Cooperative,Rural,Advanced,Positive,High,Accessibility,Introverted,Personal interest
admin,Generation X (40-55),Female,Caucasian,Entry-level,Early career,starter,None,Some college,Fluent,Basic,Auditory,Intermediate,Supportive,Cooperative,Urban,Advanced,Neutral,Medium,Time,Introverted,Skill development
admin,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,starter,Physical,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Urban,Advanced,Positive,Medium,Time,Extroverted,Skill development
learner,Millennials (25-40),Female,African American,Entry-level,Mid-career,Builder,None,Some college,Proficient,Intermediate,Visual,Advanced,Supportive,Competitive,Suburban,Advanced,Neutral,High,Resources,Ambivert,Skill development
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,Builder,Mental,Bachelor's degree,Proficient,Advanced,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Intermediate,Neutral,High,Time,Ambivert,Skill development
learner,Generation Z (18-24),Female,Asian,Senior-level,Late career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Competitive,Cooperative,Urban,Intermediate,Positive,High,Accessibility,Extroverted,Requirement
admin,Millennials (25-40),Female,Caucasian,Entry-level,Late career,Accelerator,None,Some college,Fluent,Intermediate,Visual,Advanced,Collaborative,Competitive,Suburban,Basic,Positive,Medium,Time,Extroverted,Skill development
learner,Millennials (25-40),Male,Other,Mid-level,Early career,starter,Mental,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Basic,Collaborative,Competitive,Urban,Intermediate,Positive,High,Accessibility,Extroverted,Career advancement
learner,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,Builder,None,Some college,Basic,Intermediate,Kinesthetic,Intermediate,Collaborative,Both,Suburban,Basic,Negative,High,Time,Extroverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Basic,Advanced,Kinesthetic,Basic,Collaborative,Cooperative,Suburban,Intermediate,Positive,High,Resources,Introverted,Skill development
learner,Baby Boomers (55-75),Male,Asian,Entry-level,Mid-career,starter,Mental,High school or below,Basic,Advanced,Auditory,Basic,Collaborative,Both,Suburban,Advanced,Positive,High,Time,Extroverted,Requirement
learner,Generation X (40-55),Female,Asian,Senior-level,Early career,Accelerator,None,Master's degree,Fluent,Intermediate,Auditory,Advanced,Collaborative,Cooperative,Urban,Advanced,Neutral,High,Interest,Extroverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Entry-level,Early career,starter,None,Some college,Proficient,Advanced,Auditory,None,Supportive,Both,Rural,Advanced,Neutral,High,Time,Introverted,Personal interest
learner,Baby Boomers (55-75),Female,Asian,Entry-level,Mid-career,starter,None,Some college,Fluent,Basic,Visual,Intermediate,Supportive,Competitive,Urban,Basic,Neutral,Low,Accessibility,Introverted,Personal interest
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Basic,Independent,Both,Urban,Basic,Positive,Medium,Time,Introverted,Career advancement
learner,Generation X (40-55),Female,African American,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Competitive,Both,Suburban,Advanced,Positive,Medium,Resources,Introverted,Career advancement
learner,Millennials (25-40),Male,Other,Senior-level,Retirement,starter,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,None,Independent,Cooperative,Urban,Basic,Positive,Low,Resources,Introverted,Career advancement
admin,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,Builder,None,Master's degree,Fluent,Intermediate,Auditory,None,Competitive,Both,Rural,Advanced,Positive,High,Resources,Extroverted,Skill development
learner,Millennials (25-40),Male,Caucasian,Entry-level,Early career,Accelerator,None,Some college,Fluent,Advanced,Auditory,Intermediate,Supportive,Both,Urban,None,Positive,Medium,Interest,Extroverted,Personal interest
learner,Generation X (40-55),Female,Asian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Basic,Intermediate,Visual,Basic,Competitive,Cooperative,Suburban,Advanced,Neutral,Low,Resources,Introverted,Skill development
learner,Millennials (25-40),Other,African American,Senior-level,Mid-career,Accelerator,Mental,Bachelor's degree,Fluent,Advanced,Kinesthetic,Intermediate,Collaborative,Neither,Urban,Intermediate,Positive,High,Accessibility,Ambivert,Career advancement
learner,Generation X (40-55),Female,African American,Entry-level,Retirement,Accelerator,None,Some college,Proficient,Intermediate,Auditory,Intermediate,Competitive,Both,Rural,Intermediate,Neutral,Medium,Time,Ambivert,Skill development
learner,Millennials (25-40),Female,Caucasian,Mid-level,Early career,Builder,Physical,Some college,Fluent,Intermediate,Auditory,Basic,Supportive,Both,Rural,Intermediate,Neutral,High,Accessibility,Extroverted,Career advancement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Expert,None,Some college,Fluent,Advanced,Reading/Writing,Intermediate,Supportive,Cooperative,Rural,Intermediate,Neutral,Medium,Interest,Introverted,Career advancement
learner,Millennials (25-40),Female,African American,Senior-level,Early career,Builder,Mental,High school or below,Basic,Basic,Kinesthetic,Advanced,Competitive,Competitive,Suburban,Intermediate,Positive,Low,Accessibility,Introverted,Skill development
learner,Generation Z (18-24),Male,Caucasian,Mid-level,Late career,Accelerator,Mental,Master's degree,Fluent,Intermediate,Auditory,Basic,Competitive,Cooperative,Suburban,Intermediate,Neutral,Medium,Time,Extroverted,Career advancement
learner,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,Accelerator,None,Some college,Fluent,None,Auditory,Advanced,Supportive,Neither,Suburban,Intermediate,Positive,High,Interest,Introverted,Career advancement
learner,Generation X (40-55),Male,Caucasian,Senior-level,Mid-career,Accelerator,Physical,Master's degree,Fluent,Advanced,Kinesthetic,Basic,Independent,Both,Suburban,Advanced,Positive,Medium,Interest,Introverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,Builder,None,Doctoral degree,Basic,Advanced,Reading/Writing,Intermediate,Collaborative,Cooperative,Suburban,Advanced,Positive,High,Interest,Extroverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,Builder,None,Doctoral degree,Fluent,Basic,Visual,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Neutral,Medium,Interest,Extroverted,Requirement
learner,Generation Z (18-24),Female,African American,Mid-level,Mid-career,Builder,Other,High school or below,Basic,Advanced,Reading/Writing,Advanced,Competitive,Neither,Urban,Advanced,Neutral,High,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,starter,None,High school or below,Basic,Advanced,Kinesthetic,Intermediate,Competitive,Both,Urban,Basic,Positive,High,Time,Introverted,Career advancement
learner,Baby Boomers (55-75),Female,Other,Mid-level,Late career,Builder,None,Doctoral degree,Proficient,Advanced,Auditory,Intermediate,Independent,Competitive,Suburban,Intermediate,Negative,High,Resources,Introverted,Personal interest
admin,Generation X (40-55),Male,Caucasian,Mid-level,Late career,Expert,Mental,Bachelor's degree,Fluent,Advanced,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Intermediate,Neutral,High,Time,Introverted,Career advancement
learner,Millennials (25-40),Other,Hispanic/Latino,Mid-level,Early career,Accelerator,None,High school or below,Fluent,Basic,Kinesthetic,Intermediate,Collaborative,Competitive,Suburban,Advanced,Neutral,Medium,Time,Introverted,Skill development
learner,Millennials (25-40),Male,African American,Entry-level,Early career,Builder,None,Bachelor's degree,Proficient,Intermediate,Auditory,Basic,Independent,Both,Urban,Advanced,Positive,Medium,Resources,Extroverted,Personal interest
learner,Generation X (40-55),Female,African American,Entry-level,Early career,starter,None,Bachelor's degree,Basic,Intermediate,Auditory,Intermediate,Collaborative,Neither,Urban,Intermediate,Neutral,Medium,Resources,Introverted,Skill development
learner,Generation Z (18-24),Female,Asian,Entry-level,Late career,Builder,Physical,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Basic,Competitive,Competitive,Suburban,Intermediate,Negative,Medium,Resources,Introverted,Skill development
learner,Generation Z (18-24),Female,African American,Executive,Early career,starter,None,Master's degree,Fluent,Basic,Kinesthetic,Advanced,Competitive,Both,Suburban,Intermediate,Neutral,High,Interest,Ambivert,Personal interest
learner,Millennials (25-40),Female,Other,Mid-level,Late career,Expert,None,Doctoral degree,Proficient,Intermediate,Kinesthetic,Basic,Supportive,Both,Suburban,Basic,Negative,High,Accessibility,Introverted,Career advancement
learner,Millennials (25-40),Female,African American,Executive,Mid-career,starter,None,Master's degree,Proficient,Advanced,Auditory,None,Collaborative,Cooperative,Suburban,Intermediate,Positive,High,Interest,Introverted,Requirement
admin,Millennials (25-40),Female,Caucasian,Entry-level,Early career,Accelerator,None,Some college,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,High,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Accelerator,None,Some college,Proficient,Advanced,Visual,Intermediate,Independent,Competitive,Urban,Advanced,Neutral,Medium,Accessibility,Extroverted,Career advancement
admin,Millennials (25-40),Other,Caucasian,Entry-level,Retirement,Builder,None,Doctoral degree,Fluent,Advanced,Kinesthetic,Intermediate,Collaborative,Both,Urban,Advanced,Neutral,High,Time,Introverted,Skill development
learner,Millennials (25-40),Other,Asian,Entry-level,Early career,starter,None,Bachelor's degree,Basic,Advanced,Reading/Writing,Advanced,Competitive,Both,Urban,Intermediate,Positive,High,Interest,Extroverted,Career advancement
learner,Generation Z (18-24),Male,Caucasian,Entry-level,Retirement,Expert,Other,Doctoral degree,Proficient,Basic,Visual,Basic,Collaborative,Neither,Urban,Advanced,Positive,Medium,Resources,Extroverted,Career advancement
learner,Generation Z (18-24),Male,African American,Entry-level,Early career,starter,None,Master's degree,Fluent,Basic,Visual,None,Collaborative,Neither,Urban,Intermediate,Positive,Medium,Accessibility,Extroverted,Skill development
learner,Generation Z (18-24),Female,Asian,Mid-level,Mid-career,starter,None,Some college,Fluent,Basic,Visual,Intermediate,Competitive,Cooperative,Rural,Intermediate,Neutral,Medium,Resources,Extroverted,Skill development
learner,Baby Boomers (55-75),Female,Caucasian,Executive,Mid-career,starter,Other,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Advanced,Competitive,Both,Rural,Advanced,Positive,Medium,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,None,Auditory,None,Supportive,Competitive,Urban,Intermediate,Positive,High,Time,Introverted,Career advancement
learner,Millennials (25-40),Female,African American,Entry-level,Early career,Builder,None,Master's degree,Fluent,Advanced,Kinesthetic,Intermediate,Collaborative,Cooperative,Urban,Advanced,Positive,High,Accessibility,Introverted,Personal interest
admin,Millennials (25-40),Male,Asian,Mid-level,Retirement,Accelerator,None,Bachelor's degree,Fluent,None,Kinesthetic,Intermediate,Independent,Both,Suburban,Advanced,Neutral,High,Accessibility,Introverted,Personal interest
learner,Millennials (25-40),Female,African American,Entry-level,Early career,starter,None,Some college,Fluent,Advanced,Auditory,Advanced,Collaborative,Cooperative,Suburban,Intermediate,Negative,High,Interest,Ambivert,Skill development
admin,Millennials (25-40),Other,Caucasian,Senior-level,Mid-career,starter,Physical,High school or below,Fluent,Basic,Auditory,Intermediate,Collaborative,Cooperative,Suburban,Basic,Neutral,Medium,Interest,Ambivert,Requirement
admin,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,starter,None,Bachelor's degree,Fluent,None,Auditory,Intermediate,Competitive,Cooperative,Rural,Intermediate,Neutral,Medium,Time,Ambivert,Skill development
learner,Baby Boomers (55-75),Male,Caucasian,Mid-level,Retirement,Builder,None,Bachelor's degree,Fluent,Intermediate,Visual,Basic,Competitive,Cooperative,Urban,Intermediate,Positive,Medium,Accessibility,Ambivert,Skill development
learner,Generation Z (18-24),Female,Asian,Entry-level,Mid-career,starter,None,Some college,Fluent,None,Kinesthetic,Intermediate,Competitive,Both,Urban,Advanced,Positive,Low,Interest,Extroverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Executive,Early career,Builder,Physical,Some college,Fluent,Advanced,Visual,Intermediate,Supportive,Competitive,Suburban,Intermediate,Positive,High,Time,Extroverted,Skill development
admin,Generation X (40-55),Female,African American,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Advanced,Reading/Writing,Advanced,Supportive,Both,Suburban,Advanced,Neutral,Medium,Interest,Introverted,Career advancement
learner,Generation X (40-55),Female,Other,Executive,Early career,starter,None,Bachelor's degree,Fluent,None,Reading/Writing,Intermediate,Collaborative,Competitive,Suburban,Advanced,Positive,High,Interest,Introverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Entry-level,Late career,Accelerator,None,Master's degree,Fluent,Intermediate,Visual,Advanced,Collaborative,Competitive,Suburban,Intermediate,Positive,Low,Accessibility,Extroverted,Skill development
admin,Millennials (25-40),Female,African American,Mid-level,Mid-career,starter,None,Some college,Fluent,Intermediate,Kinesthetic,Advanced,Supportive,Competitive,Suburban,Basic,Neutral,High,Time,Ambivert,Career advancement
learner,Millennials (25-40),Female,Caucasian,Mid-level,Early career,Accelerator,None,High school or below,Proficient,Intermediate,Visual,Basic,Collaborative,Cooperative,Suburban,Intermediate,Positive,High,Accessibility,Introverted,Career advancement
learner,Millennials (25-40),Female,African American,Senior-level,Mid-career,Accelerator,None,Bachelor's degree,Proficient,None,Auditory,Intermediate,Collaborative,Both,Urban,Advanced,Positive,Medium,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Other,African American,Senior-level,Mid-career,starter,Physical,Some college,Basic,Intermediate,Kinesthetic,Basic,Collaborative,Cooperative,Suburban,Basic,Neutral,Medium,Time,Ambivert,Personal interest
learner,Millennials (25-40),Female,Asian,Entry-level,Early career,Accelerator,Mental,Doctoral degree,Fluent,Intermediate,Reading/Writing,Basic,Competitive,Both,Urban,Advanced,Positive,Low,Accessibility,Extroverted,Skill development
learner,Generation X (40-55),Female,Other,Mid-level,Early career,Accelerator,None,Some college,Fluent,Intermediate,Reading/Writing,Intermediate,Supportive,Both,Urban,Basic,Positive,Medium,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Male,Caucasian,Mid-level,Early career,starter,None,Master's degree,Fluent,Intermediate,Reading/Writing,Advanced,Competitive,Competitive,Urban,Advanced,Positive,High,Time,Introverted,Requirement
learner,Generation X (40-55),Male,Caucasian,Mid-level,Early career,Builder,None,Some college,Proficient,Intermediate,Auditory,Intermediate,Supportive,Competitive,Urban,Advanced,Neutral,Medium,Time,Extroverted,Skill development
admin,Generation X (40-55),Male,Caucasian,Mid-level,Early career,Builder,Other,Some college,Proficient,Intermediate,Auditory,Basic,Collaborative,Competitive,Rural,Intermediate,Neutral,Low,Interest,Extroverted,Skill development
learner,Baby Boomers (55-75),Female,Caucasian,Mid-level,Mid-career,starter,None,Some college,Basic,Intermediate,Visual,Advanced,Supportive,Both,Suburban,Intermediate,Positive,High,Interest,Introverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,starter,None,Some college,Proficient,Intermediate,Reading/Writing,Intermediate,Supportive,Cooperative,Urban,Advanced,Positive,High,Accessibility,Extroverted,Requirement
admin,Generation Z (18-24),Female,Caucasian,Mid-level,Early career,starter,None,Master's degree,Fluent,Intermediate,Reading/Writing,Advanced,Collaborative,Competitive,Urban,Advanced,Neutral,Medium,Interest,Extroverted,Requirement
learner,Baby Boomers (55-75),Female,African American,Entry-level,Late career,Accelerator,None,Bachelor's degree,Fluent,Advanced,Kinesthetic,Basic,Supportive,Competitive,Rural,Intermediate,Negative,High,Time,Extroverted,Skill development
learner,Generation X (40-55),Male,Caucasian,Entry-level,Early career,Builder,None,Some college,Proficient,Intermediate,Kinesthetic,Intermediate,Independent,Both,Urban,Advanced,Neutral,High,Time,Extroverted,Personal interest
learner,Baby Boomers (55-75),Female,Asian,Mid-level,Mid-career,starter,Physical,High school or below,None,Advanced,Auditory,Basic,Competitive,Competitive,Urban,Intermediate,Neutral,Medium,Accessibility,Extroverted,Career advancement
learner,Baby Boomers (55-75),Male,African American,Senior-level,Mid-career,Builder,None,Some college,Basic,Advanced,Kinesthetic,Advanced,Supportive,Both,Urban,Basic,Positive,High,Resources,Introverted,Skill development
learner,Millennials (25-40),Male,Hispanic/Latino,Senior-level,Early career,Builder,None,Doctoral degree,Fluent,Basic,Visual,Intermediate,Independent,Cooperative,Rural,Advanced,Neutral,Low,Interest,Extroverted,Skill development
admin,Millennials (25-40),Male,Other,Senior-level,Late career,starter,None,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Basic,Collaborative,Cooperative,Suburban,Advanced,Positive,Low,Interest,Introverted,Career advancement
learner,Generation X (40-55),Male,Asian,Senior-level,Early career,starter,None,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Intermediate,Supportive,Both,Suburban,Advanced,Positive,Medium,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Female,Other,Senior-level,Mid-career,starter,Other,Some college,Fluent,Intermediate,Kinesthetic,Basic,Supportive,Both,Urban,Intermediate,Neutral,Low,Time,Extroverted,Requirement
learner,Millennials (25-40),Female,Asian,Entry-level,Mid-career,Expert,None,Master's degree,Proficient,Intermediate,Auditory,Intermediate,Supportive,Competitive,Suburban,Intermediate,Positive,Medium,Interest,Ambivert,Skill development
admin,Millennials (25-40),Female,African American,Mid-level,Late career,Accelerator,None,Bachelor's degree,Fluent,None,Reading/Writing,Intermediate,Collaborative,Cooperative,Urban,Intermediate,Positive,High,Resources,Ambivert,Personal interest
admin,Millennials (25-40),Female,African American,Entry-level,Mid-career,Accelerator,None,High school or below,Fluent,Advanced,Kinesthetic,Intermediate,Independent,Both,Urban,Advanced,Positive,High,Interest,Introverted,Personal interest
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Early career,starter,None,Some college,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Neither,Urban,Advanced,Neutral,Medium,Interest,Introverted,Skill development
learner,Millennials (25-40),Other,Caucasian,Entry-level,Mid-career,starter,None,High school or below,Basic,Basic,Kinesthetic,Basic,Independent,Neither,Suburban,Basic,Neutral,High,Accessibility,Extroverted,Career advancement
admin,Generation X (40-55),Male,Caucasian,Mid-level,Late career,Accelerator,Physical,High school or below,Fluent,Intermediate,Auditory,Advanced,Supportive,Cooperative,Suburban,Basic,Neutral,Low,Time,Introverted,Skill development
learner,Millennials (25-40),Male,Hispanic/Latino,Mid-level,Early career,starter,None,High school or below,Proficient,Basic,Kinesthetic,Intermediate,Competitive,Both,Suburban,Intermediate,Positive,Medium,Time,Extroverted,Career advancement
learner,Generation X (40-55),Female,Caucasian,Mid-level,Mid-career,Builder,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Both,Suburban,Advanced,Neutral,High,Interest,Extroverted,Skill development
admin,Baby Boomers (55-75),Female,African American,Entry-level,Early career,starter,None,High school or below,Basic,Basic,Kinesthetic,Advanced,Collaborative,Competitive,Suburban,Basic,Positive,Medium,Resources,Introverted,Skill development
learner,Baby Boomers (55-75),Male,Caucasian,Mid-level,Mid-career,Builder,None,Some college,Basic,Basic,Kinesthetic,Basic,Supportive,Cooperative,Urban,Intermediate,Neutral,High,Interest,Extroverted,Career advancement
admin,Generation Z (18-24),Other,Other,Mid-level,Early career,starter,None,Bachelor's degree,Proficient,Advanced,Auditory,Intermediate,Independent,Competitive,Rural,Intermediate,Positive,Medium,Interest,Introverted,Career advancement
